"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"filterbubbles_ver1.2.nlogo"
"experiment"
"05/19/2025 11:38:41:351 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","acceptance-latitude","acceptance-sharpness","[step]","number-of-bubbles","biggest-cluster-tightness","biggest-cluster-size"
"144","0.2","17","1001","7","4.3","42"
"148","0.2","17","1001","11","4.2","25"
"149","0.2","17","1001","8","4","35"
"147","0.2","17","1001","9","0.2","20"
"146","0.2","17","1001","10","3.1","29"
"150","0.2","17","1001","10","0.2","21"
"152","0.2","18","1001","9","0.9","26"
"153","0.2","18","1001","10","2.7","34"
"151","0.2","18","1001","8","1.3","20"
"155","0.2","18","1001","13","0.7","19"
"154","0.2","18","1001","10","2.7","29"
"158","0.2","18","1001","7","4.7","39"
"159","0.2","18","1001","10","0.2","19"
"160","0.2","18","1001","11","0.4","25"
"162","0.2","19","1001","9","2.6","29"
"156","0.2","18","1001","11","2.1","23"
"163","0.2","19","1001","8","0.9","30"
"164","0.2","19","1001","12","0.3","18"
"157","0.2","18","1001","12","0.2","16"
"161","0.2","19","1001","10","2.2","23"
"166","0.2","19","1001","8","1.6","23"
"169","0.2","19","1001","10","4.4","30"
"168","0.2","19","1001","7","5.5","34"
"165","0.2","19","1001","11","1.5","21"
"170","0.2","19","1001","9","4","35"
"171","0.2","20","1001","9","3.6","24"
"173","0.2","20","1001","11","2.1","18"
"167","0.2","19","1001","12","0.2","22"
"174","0.2","20","1001","11","1.6","21"
"172","0.2","20","1001","9","2.7","20"
"178","0.2","20","1001","11","3.3","24"
"176","0.2","20","1001","10","0.3","20"
"175","0.2","20","1001","10","0.2","25"
"177","0.2","20","1001","12","0.9","17"
"179","0.2","20","1001","8","0.2","24"
"180","0.2","20","1001","12","0.3","26"
"181","0.3","3","1001","1","0.4","100"
"182","0.3","3","1001","1","0.5","100"
"183","0.3","3","1001","1","0.5","100"
"185","0.3","3","1001","1","0.4","100"
"187","0.3","3","1001","1","0.4","100"
"191","0.3","4","1001","1","0.4","100"
"190","0.3","3","1001","1","0.4","100"
"184","0.3","3","1001","1","0.5","100"
"188","0.3","3","1001","1","0.5","100"
"186","0.3","3","1001","1","0.4","100"
"189","0.3","3","1001","1","0.4","100"
"193","0.3","4","1001","1","0.4","100"
"194","0.3","4","1001","1","0.4","100"
"195","0.3","4","1001","1","0.3","100"
"196","0.3","4","1001","1","0.3","100"
"192","0.3","4","1001","1","0.4","100"
